Time,Treatment,Replicate,Cfu,Antibiotic_present,Donor,Resistant_focal_strain
48,Sterile slurry human donor 2,3,149600000,no,Human donor 2,no
72,Sterile slurry human donor 2,3,57800000,no,Human donor 2,no
96,Sterile slurry human donor 2,3,95400000,no,Human donor 2,no
120,Sterile slurry human donor 2,3,39600000,no,Human donor 2,no
144,Sterile slurry human donor 2,3,172800000,no,Human donor 2,no
168,Sterile slurry human donor 2,3,363200000,no,Human donor 2,no
0,Sterile slurry human donor 2 + Amp,1,627000,yes,Human donor 2,no
2,Sterile slurry human donor 2 + Amp,1,27840000,yes,Human donor 2,no
24,Sterile slurry human donor 2 + Amp,1,39680000,yes,Human donor 2,no
48,Sterile slurry human donor 2 + Amp,1,50400000,yes,Human donor 2,no
72,Sterile slurry human donor 2 + Amp,1,53600000,yes,Human donor 2,no
96,Sterile slurry human donor 2 + Amp,1,81000000,yes,Human donor 2,no
120,Sterile slurry human donor 2 + Amp,1,2800000,yes,Human donor 2,no
144,Sterile slurry human donor 2 + Amp,1,28320000,yes,Human donor 2,no
168,Sterile slurry human donor 2 + Amp,1,59600000,yes,Human donor 2,no
0,Sterile slurry human donor 2 + Amp,2,128000,yes,Human donor 2,no
2,Sterile slurry human donor 2 + Amp,2,26000000,yes,Human donor 2,no
24,Sterile slurry human donor 2 + Amp,2,28000000,yes,Human donor 2,no
48,Sterile slurry human donor 2 + Amp,2,84160000,yes,Human donor 2,no
72,Sterile slurry human donor 2 + Amp,2,63000000,yes,Human donor 2,no
96,Sterile slurry human donor 2 + Amp,2,71000000,yes,Human donor 2,no
120,Sterile slurry human donor 2 + Amp,2,14400000,yes,Human donor 2,no
144,Sterile slurry human donor 2 + Amp,2,71680000,yes,Human donor 2,no
168,Sterile slurry human donor 2 + Amp,2,81200000,yes,Human donor 2,no
0,Sterile slurry human donor 2 + Amp,3,215200,yes,Human donor 2,no
2,Sterile slurry human donor 2 + Amp,3,19680000,yes,Human donor 2,no
24,Sterile slurry human donor 2 + Amp,3,28800000,yes,Human donor 2,no
48,Sterile slurry human donor 2 + Amp,3,42080000,yes,Human donor 2,no
72,Sterile slurry human donor 2 + Amp,3,60400000,yes,Human donor 2,no
96,Sterile slurry human donor 2 + Amp,3,65200000,yes,Human donor 2,no
120,Sterile slurry human donor 2 + Amp,3,1200000,yes,Human donor 2,no
144,Sterile slurry human donor 2 + Amp,3,37920000,yes,Human donor 2,no
168,Sterile slurry human donor 2 + Amp,3,32600000,yes,Human donor 2,no
0,Community human donor 2,4,825000,no,Human donor 2,no
2,Community human donor 2,4,60900000,no,Human donor 2,no
24,Community human donor 2,4,96000000,no,Human donor 2,no
48,Community human donor 2,4,200000000,no,Human donor 2,no
72,Community human donor 2,4,167600000,no,Human donor 2,no
96,Community human donor 2,4,144000000,no,Human donor 2,no
120,Community human donor 2,4,18200000,no,Human donor 2,no
144,Community human donor 2,4,57760000,no,Human donor 2,no
168,Community human donor 2,4,91200000,no,Human donor 2,no
0,Community human donor 2,5,492800,no,Human donor 2,no
2,Community human donor 2,5,43040000,no,Human donor 2,no
24,Community human donor 2,5,139200000,no,Human donor 2,no
48,Community human donor 2,5,294000000,no,Human donor 2,no
72,Community human donor 2,5,95400000,no,Human donor 2,no
96,Community human donor 2,5,133000000,no,Human donor 2,no
120,Community human donor 2,5,42800000,no,Human donor 2,no
144,Community human donor 2,5,68480000,no,Human donor 2,no
168,Community human donor 2,5,113600000,no,Human donor 2,no
0,Community human donor 2,6,563200,no,Human donor 2,no
2,Community human donor 2,6,64640000,no,Human donor 2,no
24,Community human donor 2,6,42400000,no,Human donor 2,no
48,Community human donor 2,6,159200000,no,Human donor 2,no
72,Community human donor 2,6,113400000,no,Human donor 2,no
96,Community human donor 2,6,103000000,no,Human donor 2,no
120,Community human donor 2,6,32000000,no,Human donor 2,no
144,Community human donor 2,6,73600000,no,Human donor 2,no
168,Community human donor 2,6,100800000,no,Human donor 2,no
0,Community human donor 2 + Amp,4,494400,yes,Human donor 2,no
2,Community human donor 2 + Amp,4,47520000,yes,Human donor 2,no
24,Community human donor 2 + Amp,4,200,yes,Human donor 2,no
48,Community human donor 2 + Amp,4,263200,yes,Human donor 2,no
72,Community human donor 2 + Amp,4,1,yes,Human donor 2,no
96,Community human donor 2 + Amp,4,234000,yes,Human donor 2,no
120,Community human donor 2 + Amp,4,100,yes,Human donor 2,no
144,Community human donor 2 + Amp,4,300,yes,Human donor 2,no
168,Community human donor 2 + Amp,4,100,yes,Human donor 2,no
0,Community human donor 2 + Amp,5,817000,yes,Human donor 2,no
2,Community human donor 2 + Amp,5,72800000,yes,Human donor 2,no
24,Community human donor 2 + Amp,5,2900,yes,Human donor 2,no
48,Community human donor 2 + Amp,5,259200,yes,Human donor 2,no
72,Community human donor 2 + Amp,5,1,yes,Human donor 2,no
96,Community human donor 2 + Amp,5,11600,yes,Human donor 2,no
120,Community human donor 2 + Amp,5,200,yes,Human donor 2,no
144,Community human donor 2 + Amp,5,800,yes,Human donor 2,no
168,Community human donor 2 + Amp,5,1200,yes,Human donor 2,no
0,Community human donor 2 + Amp,6,416000,yes,Human donor 2,no
2,Community human donor 2 + Amp,6,40640000,yes,Human donor 2,no
24,Community human donor 2 + Amp,6,9600,yes,Human donor 2,no
48,Community human donor 2 + Amp,6,740800,yes,Human donor 2,no
72,Community human donor 2 + Amp,6,1,yes,Human donor 2,no
96,Community human donor 2 + Amp,6,9000,yes,Human donor 2,no
120,Community human donor 2 + Amp,6,300,yes,Human donor 2,no
144,Community human donor 2 + Amp,6,1,yes,Human donor 2,no
168,Community human donor 2 + Amp,6,200,yes,Human donor 2,no
