Isolate,Replicate,Conc_Amp_ug/ml,OD
Human donor 3 community-free+amp 2,1,20,0.048700001
Human donor 3 community-free+amp 2,2,20,0.0473
Human donor 3 community-free+amp 2,3,20,0.048
Human donor 3 community-free+amp 2,1,26,0.048099998
Human donor 3 community-free+amp 2,2,26,0.047400001
Human donor 3 community-free+amp 2,3,26,0.0471
Human donor 3 community-free+amp 2,1,30,0.047899999
Human donor 3 community-free+amp 2,2,30,0.045699999
Human donor 3 community-free+amp 2,3,30,0.047200002
Human donor 3 community-free+amp 2,1,60,0.048300002
Human donor 3 community-free+amp 2,2,60,0.047499999
Human donor 3 community-free+amp 2,3,60,0.046999998
Transconjugant,1,0,0.834699988
Transconjugant,2,0,0.844399989
Transconjugant,3,0,0.844299972
Transconjugant,1,4,0.976599991
Transconjugant,2,4,0.938799977
Transconjugant,3,4,0.971700013
Transconjugant,1,8,0.860199988
Transconjugant,2,8,0.82249999
Transconjugant,3,8,0.827499986
Transconjugant,1,16,0.8046
Transconjugant,2,16,0.765399992
Transconjugant,3,16,0.741599977
Transconjugant,1,20,0.846099973
Transconjugant,2,20,0.888899982
Transconjugant,3,20,0.84859997
Transconjugant,1,26,0.843999982
Transconjugant,2,26,0.815699995
Transconjugant,3,26,0.781000018
Transconjugant,1,30,0.916000009
Transconjugant,2,30,0.857200027
Transconjugant,3,30,0.84859997
Transconjugant,1,60,0.760900021
Transconjugant,2,60,0.747099996
Transconjugant,3,60,0.895699978
